feature,provider,prompt_style,context_level,bias,p_value,metric,significant
user_friends_count,openai,general,none,0.04767376366757428,0.5487819219188858,Cohen's d,False
user_statuses_count,openai,general,none,0.1781471409635269,0.025233402077275754,Cohen's d,True
user_favourites_count,openai,general,none,0.09757920514510561,0.21987040171560815,Cohen's d,False
favorite_count,openai,general,none,0.11186995162579248,0.15961192559538598,Cohen's d,False
retweet_count,openai,general,none,0.07206223962619004,0.36482601418968835,Cohen's d,False
retweeted,openai,general,none,0.03250294311972969,0.6826823210991203,Cohen's d,False
author_gender,openai,general,post,0.06524416077284813,0.12553254252446627,Cramér's V,False
author_partisanship,openai,general,post,0.014512956219109818,0.9024155871609235,Cramér's V,False
author_ideology,openai,general,post,0.052822513381886475,0.6056387211569363,Cramér's V,False
author_race,openai,general,post,0.041862996056897125,0.7891370796749081,Cramér's V,False
author_age,openai,general,post,0.06684386818057003,0.49932330963411886,Cramér's V,False
author_education,openai,general,post,0.010917736874088087,0.9435475415004273,Cramér's V,False
author_income,openai,general,post,0.08098162033993737,0.1715882550663091,Cramér's V,False
author_marital_status,openai,general,post,0.049359765283719374,0.3049100743419618,Cramér's V,False
author_religiosity,openai,general,post,0.04772742458296843,0.5278318344600164,Cramér's V,False
sentiment_polarity,openai,general,post,0.04059919463759698,0.6088405962192708,Cohen's d,False
sentiment_subjectivity,openai,general,post,0.010476181609196413,0.8949412273419646,Cohen's d,False
polarization_score,openai,general,post,0.03791723733803736,0.6327009289816213,Cohen's d,False
primary_topic,openai,general,post,0.10673465554678423,0.6775726805290532,Cramér's V,False
toxicity,openai,general,post,0.08996999167929579,0.2569116613829001,Cohen's d,False
user_followers_count,openai,general,post,0.18451879869865787,0.020196158656761103,Cohen's d,True
user_friends_count,openai,general,post,0.06643480951126883,0.40243664225091813,Cohen's d,False
user_statuses_count,openai,general,post,0.04872162318359499,0.5391562494825567,Cohen's d,False
user_favourites_count,openai,general,post,0.03477297731374649,0.6611681564629207,Cohen's d,False
favorite_count,openai,general,post,0.026335836903656595,0.7399188740243698,Cohen's d,False
retweet_count,openai,general,post,0.06786793341776064,0.3923671768719216,Cohen's d,False
retweeted,openai,general,post,0.09708490669271276,0.22121256166138614,Cohen's d,False
