feature,feature_display,neutral_normalized,general_normalized,popular_normalized,engaging_normalized,informative_normalized,controversial_normalized
polarization_score,Content: Polarization Score,-0.3830922296715343,-0.6304719211050764,-0.9793331953064096,-0.5571472584711411,0.5913282250011038,1.9587163795530578
Text Length,Text Length,0.013994279460620469,-0.46326021917800314,-1.186752318119759,-0.7038157458726476,0.4135953512622577,1.9262386524475317
primary_topic,Content: Primary Topic,-0.5830532704674689,-0.47355046577958376,-0.9207827198353757,-0.7453016546913365,0.9576311671546328,1.7650569436191312
has_mention,Style: Has Mention,-0.9051302447779734,1.2316668281596848,0.7455995365423123,-0.13196854739415226,0.6806647018477866,-1.6208322743776602
sentiment_polarity,Sentiment: Polarity,-0.5744109945950261,-0.5864798196885977,-0.7133911519858488,-0.566215621964403,0.3488843109612178,2.0916132772726574
user_friends_count,Author Meta: Following,1.4131681221263601,-0.09711172581308421,0.097244672334238,1.0032170240722569,-1.0381937627058335,-1.3783243300139396
user_favourites_count,Author Meta: Likes Given,1.178837246849716,-0.37802184559556506,0.5674477401658278,1.0757143111845413,-1.2517470710657455,-1.1922303815387758
avg_word_length,Text: Avg Word Length,-1.0653577527955609,0.7161969002116015,0.9133293281139477,0.21363559916141014,-1.6478251165209692,0.87002104182957
has_url,Style: Has URL,-0.4696956322920102,0.0025345466411025126,-0.5469592465139379,-0.28068724039833415,2.157894852098619,-0.8630872795354392
author_ideology,Author: Ideology,0.8499559195738415,-0.5555675044990073,-0.7562432702708971,-0.33350360340003793,-1.0111311920477637,1.8064896506438581
toxicity,Toxicity: Toxicity,-0.8980479775675163,-1.299128597065892,-0.5486373482553112,0.45684429476944605,0.7106795066449836,1.5782901214742906
favorite_count,Post Meta: Likes,1.0141777541180903,0.45039364765177137,0.4537302756762273,0.815815736583584,-1.0846905526187314,-1.6494268614109417
user_followers_count,Author Meta: Followers,-0.004264649937232046,0.6817094788516316,0.5474673511705402,0.71950130532027,0.21680113555907415,-2.161214620964282
retweet_count,Post Meta: Retweets,0.9543663915984606,0.6599135330182567,0.4595501361295525,0.6884487163635801,-1.1041385441414067,-1.6581402329684425
user_statuses_count,Author Meta: Tweet Count,1.4626892866790926,0.12428565787822926,-0.2360841685943673,0.3700479239674443,0.18154958477817093,-1.9024882847085678
author_age,Author: Age,-0.4121396195575514,-1.5002761744034088,-0.28633112589418114,-0.37871610390404303,1.1617608182660244,1.415702205493161
author_education,Author: Education,0.4735788351530768,-0.7311849928574059,-0.6729042500977039,-0.49938331656239854,2.0409577473121914,-0.61106402294776
has_emoji,Style: Has Emoji,-0.7272698334215318,-0.4905649684501347,-0.8549896217035856,-0.7212137249897665,1.202155631107855,1.5918825174571631
author_gender,Author: Gender,0.049602350875196675,-0.8919761759920628,-1.008833928407601,-0.7954173816912404,1.166514769680732,1.4801103655349754
has_hashtag,Style: Has Hashtag,-0.3845388445607289,0.32752562954971093,-0.07741087248605462,-1.683988508681466,0.11872071520641453,1.6996918809721249
author_race,Author: Race,-0.027685773364918863,-1.7790848262896757,-0.6471340383628393,0.2984310004361955,1.0376503370542127,1.1178233005270346
sentiment_subjectivity,Sentiment: Subjectivity,-1.0891607464244253,-0.39202200053235847,0.34476573092811036,0.08998185870140864,1.9348786934825848,-0.8884435361553196
author_income,Author: Income,0.023104837129932315,-1.6153276833796306,1.0891230370760296,0.12478232291827394,1.217959249446266,-0.8396417631908784
author_marital_status,Author: Marital Status,-1.6320484373845805,-0.6059512770724489,0.8505448161613011,-0.4819303691716627,1.2995603794333928,0.5698248880339969
author_partisanship,Author: Partisanship,0.7725096927774884,-0.9806528464188631,0.5918089929246841,0.3258091336534513,-1.7210247778322907,1.0115498048955296
author_religiosity,Author: Religiosity,-0.7688863987009309,-1.3413177407571757,0.18979705557006035,-0.6091938111459809,1.2254300379263805,1.3041708571076487
retweeted,Post Meta: Is Retweeted,0.0,0.0,0.0,0.0,0.0,0.0
