context_level,provider,prompt_style,feature,coef,pvalue
none,anthropic,general,user_followers_count,0.32286262467879223,1.8248895913621944e-07
none,anthropic,general,user_friends_count,-0.04852605050810488,0.37297415091011177
none,anthropic,general,user_statuses_count,-0.19544925495488358,0.0006012993650219159
none,anthropic,general,user_favourites_count,-0.0721847475102998,0.16296253609415767
none,anthropic,general,favorite_count,0.058737456821880155,0.23097316316083216
none,anthropic,general,retweet_count,-0.09372338537853564,0.04757412998861503
none,anthropic,general,avg_word_length,-0.10418913737513731,0.11016469585107003
none,anthropic,general,text_length,0.37944861773186195,1.6625633035136557e-24
none,anthropic,general,sentiment_polarity,-0.2631012695110154,1.4170241990975986e-10
none,anthropic,general,sentiment_subjectivity,0.02467945024368943,0.5691004139721185
none,anthropic,general,polarization_score,0.38508288932672546,8.313480918540829e-22
none,anthropic,general,toxicity,-0.20823947900728457,6.005179081581565e-06
none,anthropic,general,has_emoji,-0.19112912611712937,0.4191235115012635
none,anthropic,general,has_hashtag,-0.7501289325488352,1.0188643476034137e-13
none,anthropic,general,has_mention,-1.5524102043920136,6.523498053726535e-62
none,anthropic,general,has_url,-0.3081606918165519,0.00019433080484944606
none,anthropic,popular,user_followers_count,0.16070630283102247,0.00962059203498706
none,anthropic,popular,user_friends_count,-0.07928259012138063,0.13846015355673438
none,anthropic,popular,user_statuses_count,-0.13015131586483905,0.02481622866426063
none,anthropic,popular,user_favourites_count,0.16193194512076994,0.0024212364187104034
none,anthropic,popular,favorite_count,0.10807242839935259,0.027508797348687775
none,anthropic,popular,retweet_count,0.008116891863365531,0.8565094404078752
none,anthropic,popular,avg_word_length,-0.17819885744467526,0.003055568637433796
none,anthropic,popular,text_length,0.23834500355839242,3.1961004742572404e-10
none,anthropic,popular,sentiment_polarity,-0.14287695386253135,0.0005063207625638498
none,anthropic,popular,sentiment_subjectivity,0.09258780719979873,0.024099221611180718
none,anthropic,popular,polarization_score,0.04483894995531651,0.29224925546964786
none,anthropic,popular,toxicity,0.07216041483998802,0.040527184933424804
none,anthropic,popular,has_emoji,0.02626799457876436,0.8914703330119276
none,anthropic,popular,has_hashtag,-0.6109046018623909,1.3296372648941133e-09
none,anthropic,popular,has_mention,-2.006723287075637,3.3670886157082616e-88
none,anthropic,popular,has_url,-0.9374807636410791,5.279256624676291e-29
none,anthropic,engaging,user_followers_count,0.10966049648471626,0.07736845121350883
none,anthropic,engaging,user_friends_count,-0.13695106600465898,0.010634837553436968
none,anthropic,engaging,user_statuses_count,-0.08841439978574633,0.10909990699087109
none,anthropic,engaging,user_favourites_count,0.14783946286134464,0.005045321286342041
none,anthropic,engaging,favorite_count,-0.07569046097676123,0.141713309992298
none,anthropic,engaging,retweet_count,0.05064066324474683,0.2960252162421234
none,anthropic,engaging,avg_word_length,-0.5074749600010134,8.229375988581289e-14
none,anthropic,engaging,text_length,0.2809121559487344,1.982139939628479e-15
none,anthropic,engaging,sentiment_polarity,-0.22354885242563557,5.493034884045195e-09
none,anthropic,engaging,sentiment_subjectivity,0.19513247298882064,1.4808624906684746e-06
none,anthropic,engaging,polarization_score,0.39848657392577824,1.840694411573453e-24
none,anthropic,engaging,toxicity,0.15346104958592874,7.572921590118392e-07
none,anthropic,engaging,has_emoji,0.04116555645986695,0.8414162790795211
none,anthropic,engaging,has_hashtag,-0.22852321054107871,0.01804719993024211
none,anthropic,engaging,has_mention,-1.1686243495147883,2.110270623295832e-38
none,anthropic,engaging,has_url,-0.609458358853582,5.2763776662193304e-14
none,anthropic,informative,user_followers_count,0.5232016121855365,5.498581635501592e-16
none,anthropic,informative,user_friends_count,-0.0941540438413511,0.0879236834568953
none,anthropic,informative,user_statuses_count,-0.23914449089846235,2.6888404286165056e-05
none,anthropic,informative,user_favourites_count,-0.2795100877698852,6.65885229480325e-08
none,anthropic,informative,favorite_count,-0.048902795652784124,0.31304328649359703
none,anthropic,informative,retweet_count,0.043810608574741734,0.3048241849708666
none,anthropic,informative,avg_word_length,-0.11001533753553279,0.08887609097383499
